Container Job,T_j,Source,Destination
862,04:45:00,W/P 3,Block 29
3022,04:45:00,Block 27,W/P 4
143,04:46:00,Block 1,W/P 5
3023,04:47:00,W/P 1,Block 15
1583,04:47:00,Block 3,W/P 4
2303,04:47:00,Block 23,W/P 1
863,04:47:00,Block 17,W/P 5
144,04:48:00,Block 27,W/P 5
2304,04:49:00,Block 4,W/P 2
3024,04:49:00,W/P 7,Block 26
864,04:49:00,W/P 2,Block 23
1584,04:49:00,Block 11,W/P 7
145,04:50:00,Block 27,W/P 3
3025,04:51:00,Block 27,W/P 6
1585,04:51:00,Block 27,W/P 4
2305,04:51:00,Block 27,W/P 4
865,04:51:00,Block 28,W/P 2
146,04:52:00,Block 22,W/P 6
3026,04:53:00,Block 15,W/P 7
2306,04:53:00,Block 12,W/P 7
1586,04:53:00,Block 31,W/P 7
866,04:53:00,Block 6,W/P 5
147,04:54:00,W/P 4,Block 8
3027,04:55:00,Block 32,W/P 6
2307,04:55:00,Block 14,W/P 3
867,04:55:00,Block 29,W/P 6
1587,04:55:00,Block 23,W/P 3
148,04:56:00,Block 12,W/P 5
2308,04:57:00,Block 11,W/P 5
1588,04:57:00,Block 25,W/P 2
868,04:57:00,W/P 6,Block 20
3028,04:57:00,Block 14,W/P 2
149,04:58:00,Block 9,W/P 6
1589,04:59:00,Block 21,W/P 3
869,04:59:00,Block 29,W/P 4
3029,04:59:00,Block 21,W/P 7
2309,04:59:00,W/P 1,Block 4
150,05:00:00,Block 9,W/P 4
870,05:01:00,Block 17,W/P 4
2310,05:01:00,Block 32,W/P 2
1590,05:01:00,Block 13,W/P 4
3030,05:01:00,W/P 4,Block 15
151,05:02:00,W/P 6,Block 23
1591,05:03:00,Block 7,W/P 1
3031,05:03:00,Block 10,W/P 1
871,05:03:00,W/P 4,Block 11
2311,05:03:00,Block 16,W/P 5
152,05:04:00,Block 4,W/P 6
1592,05:05:00,Block 11,W/P 3
872,05:05:00,Block 18,W/P 1
2312,05:05:00,W/P 5,Block 3
3032,05:05:00,Block 14,W/P 4
153,05:06:00,Block 19,W/P 2
2313,05:07:00,Block 22,W/P 6
3033,05:07:00,W/P 6,Block 23
873,05:07:00,W/P 2,Block 15
1593,05:07:00,Block 32,W/P 7
154,05:08:00,Block 7,W/P 3
3034,05:09:00,Block 28,W/P 5
2314,05:09:00,W/P 7,Block 12
874,05:09:00,Block 19,W/P 3
1594,05:09:00,Block 7,W/P 2
155,05:10:00,W/P 6,Block 12
3035,05:11:00,Block 24,W/P 2
1595,05:11:00,Block 10,W/P 6
2315,05:11:00,Block 29,W/P 5
875,05:11:00,Block 1,W/P 2
156,05:12:00,Block 16,W/P 2
1596,05:13:00,W/P 5,Block 20
3036,05:13:00,Block 3,W/P 2
876,05:13:00,Block 18,W/P 4
2316,05:13:00,Block 21,W/P 6
157,05:14:00,W/P 7,Block 11
877,05:15:00,Block 17,W/P 5
2317,05:15:00,Block 14,W/P 4
3037,05:15:00,Block 16,W/P 3
1597,05:15:00,Block 29,W/P 6
158,05:16:00,Block 11,W/P 1
3038,05:17:00,Block 27,W/P 5
1598,05:17:00,W/P 5,Block 21
878,05:17:00,Block 18,W/P 7
2318,05:17:00,Block 20,W/P 7
159,05:18:00,Block 31,W/P 4
3039,05:19:00,Block 9,W/P 4
1599,05:19:00,Block 20,W/P 1
879,05:19:00,Block 6,W/P 5
2319,05:19:00,W/P 1,Block 10
160,05:20:00,Block 31,W/P 5
2320,05:21:00,Block 2,W/P 6
1600,05:21:00,Block 31,W/P 2
3040,05:21:00,Block 18,W/P 6
880,05:21:00,Block 22,W/P 2
161,05:22:00,Block 30,W/P 3
3041,05:23:00,Block 30,W/P 7
1601,05:23:00,Block 5,W/P 3
2321,05:23:00,Block 13,W/P 6
881,05:23:00,Block 1,W/P 2
162,05:24:00,Block 26,W/P 7
882,05:25:00,Block 12,W/P 4
3042,05:25:00,W/P 2,Block 12
1602,05:25:00,Block 23,W/P 1
2322,05:25:00,W/P 7,Block 14
163,05:26:00,Block 31,W/P 6
1603,05:27:00,Block 14,W/P 3
3043,05:27:00,W/P 4,Block 32
2323,05:27:00,Block 24,W/P 4
883,05:27:00,Block 8,W/P 1
164,05:28:00,Block 7,W/P 5
3044,05:29:00,Block 17,W/P 4
1604,05:29:00,W/P 2,Block 2
2324,05:29:00,W/P 7,Block 14
884,05:29:00,Block 27,W/P 6
165,05:30:00,W/P 5,Block 29
2325,05:31:00,Block 16,W/P 6
3045,05:31:00,Block 8,W/P 4
885,05:31:00,Block 4,W/P 2
1605,05:31:00,Block 19,W/P 4
166,05:32:00,Block 26,W/P 4
1606,05:33:00,W/P 3,Block 28
886,05:33:00,Block 23,W/P 1
2326,05:33:00,W/P 1,Block 24
3046,05:33:00,Block 13,W/P 7
167,05:34:00,Block 19,W/P 2
2327,05:35:00,Block 6,W/P 3
1607,05:35:00,Block 5,W/P 2
3047,05:35:00,W/P 3,Block 6
887,05:35:00,W/P 1,Block 28
168,05:36:00,Block 22,W/P 2
2328,05:37:00,Block 8,W/P 1
1608,05:37:00,Block 8,W/P 7
888,05:37:00,Block 10,W/P 3
3048,05:37:00,Block 3,W/P 3
169,05:38:00,Block 18,W/P 4
2329,05:39:00,Block 26,W/P 6
3049,05:39:00,Block 28,W/P 6
1609,05:39:00,Block 23,W/P 1
889,05:39:00,Block 32,W/P 6
170,05:40:00,Block 8,W/P 2
3050,05:41:00,Block 19,W/P 5
890,05:41:00,Block 1,W/P 5
2330,05:41:00,Block 32,W/P 3
1610,05:41:00,Block 14,W/P 6
171,05:42:00,Block 18,W/P 4
891,05:43:00,Block 20,W/P 2
3051,05:43:00,Block 2,W/P 1
1611,05:43:00,Block 31,W/P 6
2331,05:43:00,W/P 6,Block 14
172,05:44:00,Block 18,W/P 2
892,05:45:00,W/P 2,Block 1
1612,05:45:00,Block 14,W/P 6
3052,05:45:00,Block 25,W/P 3
2332,05:45:00,Block 14,W/P 5
173,05:46:00,W/P 6,Block 14
2333,05:47:00,W/P 7,Block 31
1613,05:47:00,Block 23,W/P 7
893,05:47:00,Block 11,W/P 4
3053,05:47:00,Block 26,W/P 7
174,05:48:00,W/P 3,Block 28
1614,05:49:00,Block 30,W/P 2
2334,05:49:00,Block 22,W/P 7
3054,05:49:00,Block 19,W/P 6
894,05:49:00,Block 11,W/P 2
175,05:50:00,Block 17,W/P 6
1615,05:51:00,Block 8,W/P 2
3055,05:51:00,W/P 2,Block 10
895,05:51:00,Block 18,W/P 7
2335,05:51:00,Block 29,W/P 1
176,05:52:00,Block 29,W/P 3
896,05:53:00,W/P 7,Block 20
3056,05:53:00,Block 24,W/P 6
2336,05:53:00,Block 11,W/P 7
1616,05:53:00,Block 25,W/P 3
177,05:54:00,Block 12,W/P 3
897,05:55:00,Block 8,W/P 6
3057,05:55:00,Block 30,W/P 3
2337,05:55:00,Block 25,W/P 6
1617,05:55:00,Block 28,W/P 3
178,05:56:00,Block 31,W/P 6
3058,05:57:00,Block 12,W/P 2
898,05:57:00,Block 31,W/P 1
1618,05:57:00,Block 7,W/P 7
2338,05:57:00,Block 20,W/P 4
179,05:58:00,Block 26,W/P 4
899,05:59:00,Block 23,W/P 6
2339,05:59:00,Block 9,W/P 4
1619,05:59:00,Block 12,W/P 7
3059,05:59:00,Block 14,W/P 5
180,06:00:00,Block 11,W/P 5
1620,06:01:00,Block 10,W/P 3
3060,06:01:00,Block 6,W/P 1
900,06:01:00,W/P 2,Block 4
2340,06:01:00,Block 26,W/P 3
181,06:02:00,Block 19,W/P 4
901,06:03:00,Block 10,W/P 2
1621,06:03:00,Block 1,W/P 6
3061,06:03:00,Block 18,W/P 6
2341,06:03:00,W/P 3,Block 30
182,06:04:00,Block 7,W/P 2
3062,06:05:00,Block 1,W/P 1
1622,06:05:00,Block 7,W/P 5
902,06:05:00,Block 13,W/P 1
2342,06:05:00,Block 27,W/P 1
183,06:06:00,Block 8,W/P 6
1623,06:07:00,Block 11,W/P 6
3063,06:07:00,Block 18,W/P 5
2343,06:07:00,Block 25,W/P 1
903,06:07:00,W/P 7,Block 32
184,06:08:00,W/P 1,Block 3
1624,06:09:00,Block 24,W/P 3
904,06:09:00,Block 8,W/P 5
2344,06:09:00,Block 22,W/P 5
3064,06:09:00,Block 30,W/P 3
185,06:10:00,Block 12,W/P 3
1625,06:11:00,Block 5,W/P 4
3065,06:11:00,Block 14,W/P 6
2345,06:11:00,Block 31,W/P 5
905,06:11:00,Block 20,W/P 5
186,06:12:00,Block 24,W/P 4
2346,06:13:00,Block 9,W/P 5
3066,06:13:00,W/P 3,Block 15
1626,06:13:00,Block 29,W/P 6
906,06:13:00,Block 28,W/P 5
187,06:14:00,Block 13,W/P 5
2347,06:15:00,Block 25,W/P 2
3067,06:15:00,Block 5,W/P 6
1627,06:15:00,Block 24,W/P 5
907,06:15:00,Block 4,W/P 6
188,06:16:00,Block 28,W/P 6
908,06:17:00,Block 18,W/P 6
3068,06:17:00,Block 15,W/P 1
1628,06:17:00,Block 9,W/P 2
2348,06:17:00,Block 21,W/P 7
189,06:18:00,W/P 3,Block 19
3069,06:19:00,Block 8,W/P 5
1629,06:19:00,Block 15,W/P 3
2349,06:19:00,Block 31,W/P 1
909,06:19:00,Block 30,W/P 1
190,06:20:00,Block 4,W/P 4
3070,06:21:00,Block 6,W/P 6
1630,06:21:00,W/P 6,Block 22
2350,06:21:00,Block 13,W/P 2
910,06:21:00,Block 15,W/P 2
191,06:22:00,Block 31,W/P 7
1631,06:23:00,Block 22,W/P 6
911,06:23:00,Block 8,W/P 7
2351,06:23:00,Block 25,W/P 2
3071,06:23:00,Block 27,W/P 3
192,06:24:00,Block 5,W/P 6
912,06:25:00,Block 32,W/P 4
1632,06:25:00,Block 11,W/P 2
2352,06:25:00,Block 28,W/P 1
3072,06:25:00,Block 16,W/P 2
193,06:26:00,Block 32,W/P 1
1633,06:27:00,Block 9,W/P 5
2353,06:27:00,Block 31,W/P 6
3073,06:27:00,Block 16,W/P 7
913,06:27:00,Block 13,W/P 5
194,06:28:00,Block 24,W/P 6
1634,06:29:00,Block 21,W/P 5
3074,06:29:00,Block 16,W/P 5
2354,06:29:00,Block 22,W/P 3
914,06:29:00,Block 27,W/P 1
195,06:30:00,Block 8,W/P 2
915,06:31:00,Block 28,W/P 2
1635,06:31:00,Block 2,W/P 5
2355,06:31:00,Block 4,W/P 6
3075,06:31:00,Block 14,W/P 7
196,06:32:00,Block 32,W/P 5
916,06:33:00,Block 25,W/P 4
1636,06:33:00,Block 25,W/P 1
2356,06:33:00,Block 9,W/P 6
3076,06:33:00,Block 4,W/P 7
197,06:34:00,Block 6,W/P 2
2357,06:35:00,Block 15,W/P 7
1637,06:35:00,Block 32,W/P 2
917,06:35:00,Block 16,W/P 7
3077,06:35:00,Block 30,W/P 7
198,06:36:00,W/P 4,Block 15
1638,06:37:00,Block 6,W/P 2
3078,06:37:00,Block 14,W/P 3
918,06:37:00,Block 9,W/P 4
2358,06:37:00,W/P 6,Block 26
199,06:38:00,W/P 2,Block 5
3079,06:39:00,Block 2,W/P 4
1639,06:39:00,Block 13,W/P 4
919,06:39:00,Block 12,W/P 4
2359,06:39:00,Block 3,W/P 1
200,06:40:00,Block 16,W/P 4
2360,06:41:00,Block 31,W/P 1
3080,06:41:00,Block 9,W/P 7
1640,06:41:00,Block 5,W/P 1
920,06:41:00,W/P 3,Block 13
201,06:42:00,W/P 4,Block 24
921,06:43:00,Block 17,W/P 7
1641,06:43:00,W/P 1,Block 30
2361,06:43:00,Block 21,W/P 3
3081,06:43:00,Block 28,W/P 2
202,06:44:00,Block 10,W/P 5
2362,06:45:00,W/P 5,Block 2
3082,06:45:00,Block 3,W/P 7
922,06:45:00,Block 12,W/P 5
1642,06:45:00,Block 27,W/P 7
203,06:46:00,Block 11,W/P 1
2363,06:47:00,Block 30,W/P 7
3083,06:47:00,Block 14,W/P 1
1643,06:47:00,Block 32,W/P 7
923,06:47:00,Block 26,W/P 4
204,06:48:00,Block 8,W/P 4
3084,06:49:00,Block 32,W/P 6
1644,06:49:00,Block 31,W/P 2
2364,06:49:00,W/P 3,Block 5
924,06:49:00,Block 22,W/P 6
205,06:50:00,W/P 6,Block 14
1645,06:51:00,Block 22,W/P 2
925,06:51:00,W/P 2,Block 11
2365,06:51:00,Block 16,W/P 5
3085,06:51:00,Block 27,W/P 3
206,06:52:00,Block 4,W/P 3
2366,06:53:00,Block 23,W/P 3
926,06:53:00,Block 11,W/P 2
3086,06:53:00,Block 2,W/P 2
1646,06:53:00,Block 7,W/P 7
207,06:54:00,Block 21,W/P 5
927,06:55:00,Block 8,W/P 5
3087,06:55:00,Block 29,W/P 5
1647,06:55:00,Block 10,W/P 3
2367,06:55:00,Block 10,W/P 5
208,06:56:00,W/P 7,Block 7
928,06:57:00,Block 17,W/P 6
1648,06:57:00,Block 7,W/P 2
2368,06:57:00,Block 26,W/P 1
3088,06:57:00,W/P 7,Block 8
209,06:58:00,Block 30,W/P 6
2369,06:59:00,Block 21,W/P 3
1649,06:59:00,Block 13,W/P 1
3089,06:59:00,W/P 1,Block 23
929,06:59:00,Block 2,W/P 1
210,07:00:00,Block 15,W/P 2
3090,07:01:00,Block 15,W/P 1
2370,07:01:00,Block 18,W/P 2
1650,07:01:00,W/P 1,Block 7
930,07:01:00,Block 23,W/P 5
211,07:02:00,Block 31,W/P 4
1651,07:03:00,Block 29,W/P 4
931,07:03:00,Block 24,W/P 2
3091,07:03:00,Block 29,W/P 2
2371,07:03:00,Block 26,W/P 2
212,07:04:00,Block 4,W/P 5
1652,07:05:00,Block 17,W/P 4
932,07:05:00,Block 10,W/P 1
3092,07:05:00,Block 16,W/P 7
2372,07:05:00,Block 15,W/P 4
213,07:06:00,Block 5,W/P 5
2373,07:07:00,Block 31,W/P 5
933,07:07:00,W/P 2,Block 6
3093,07:07:00,W/P 6,Block 13
1653,07:07:00,Block 27,W/P 7
214,07:08:00,W/P 7,Block 29
934,07:09:00,W/P 7,Block 15
3094,07:09:00,Block 18,W/P 1
2374,07:09:00,W/P 3,Block 14
1654,07:09:00,Block 22,W/P 7
215,07:10:00,Block 2,W/P 1
935,07:11:00,W/P 4,Block 13
3095,07:11:00,Block 26,W/P 1
2375,07:11:00,W/P 1,Block 18
1655,07:11:00,Block 14,W/P 2
216,07:12:00,Block 10,W/P 2
2376,07:13:00,Block 10,W/P 1
936,07:13:00,Block 7,W/P 5
1656,07:13:00,Block 24,W/P 3
3096,07:13:00,Block 10,W/P 3
217,07:14:00,W/P 3,Block 8
1657,07:15:00,W/P 6,Block 19
2377,07:15:00,Block 9,W/P 6
3097,07:15:00,Block 20,W/P 2
937,07:15:00,Block 12,W/P 5
218,07:16:00,Block 13,W/P 3
1658,07:17:00,W/P 5,Block 18
2378,07:17:00,W/P 4,Block 18
938,07:17:00,Block 9,W/P 1
3098,07:17:00,W/P 3,Block 12
219,07:18:00,Block 24,W/P 7
2379,07:19:00,W/P 7,Block 23
3099,07:19:00,Block 17,W/P 3
939,07:19:00,Block 15,W/P 4
1659,07:19:00,Block 20,W/P 4
220,07:20:00,Block 21,W/P 5
940,07:21:00,Block 17,W/P 6
2380,07:21:00,Block 14,W/P 7
1660,07:21:00,Block 19,W/P 5
3100,07:21:00,Block 28,W/P 7
221,07:22:00,W/P 5,Block 21
941,07:23:00,Block 5,W/P 2
3101,07:23:00,Block 20,W/P 4
2381,07:23:00,W/P 6,Block 14
1661,07:23:00,Block 16,W/P 1
222,07:24:00,W/P 3,Block 4
3102,07:25:00,Block 18,W/P 3
2382,07:25:00,W/P 1,Block 21
1662,07:25:00,Block 28,W/P 1
942,07:25:00,Block 30,W/P 6
223,07:26:00,Block 27,W/P 6
1663,07:27:00,Block 28,W/P 4
3103,07:27:00,Block 15,W/P 4
2383,07:27:00,Block 10,W/P 5
943,07:27:00,Block 12,W/P 1
224,07:28:00,Block 14,W/P 4
944,07:29:00,Block 6,W/P 5
3104,07:29:00,Block 7,W/P 3
1664,07:29:00,W/P 5,Block 1
2384,07:29:00,Block 28,W/P 4
225,07:30:00,Block 17,W/P 6
945,07:31:00,Block 32,W/P 5
3105,07:31:00,Block 17,W/P 4
1665,07:31:00,Block 14,W/P 2
2385,07:31:00,Block 10,W/P 1
226,07:32:00,Block 17,W/P 3
946,07:33:00,Block 32,W/P 7
2386,07:33:00,Block 15,W/P 2
1666,07:33:00,Block 24,W/P 6
3106,07:33:00,Block 5,W/P 5
227,07:34:00,W/P 2,Block 29
947,07:35:00,W/P 6,Block 2
3107,07:35:00,Block 7,W/P 4
1667,07:35:00,Block 15,W/P 5
2387,07:35:00,Block 2,W/P 6
228,07:36:00,Block 11,W/P 1
2388,07:37:00,W/P 6,Block 22
1668,07:37:00,Block 10,W/P 7
948,07:37:00,Block 30,W/P 6
3108,07:37:00,Block 16,W/P 5
229,07:38:00,Block 19,W/P 6
3109,07:39:00,Block 20,W/P 4
2389,07:39:00,Block 8,W/P 1
949,07:39:00,Block 26,W/P 5
1669,07:39:00,Block 28,W/P 3
230,07:40:00,Block 31,W/P 6
3110,07:41:00,Block 29,W/P 7
950,07:41:00,Block 31,W/P 3
2390,07:41:00,W/P 4,Block 7
1670,07:41:00,Block 7,W/P 3
231,07:42:00,Block 17,W/P 6
3111,07:43:00,Block 20,W/P 5
1671,07:43:00,Block 2,W/P 6
951,07:43:00,Block 8,W/P 6
2391,07:43:00,Block 11,W/P 1
232,07:44:00,W/P 7,Block 11
1672,07:45:00,Block 32,W/P 7
2392,07:45:00,Block 11,W/P 6
952,07:45:00,W/P 6,Block 30
3112,07:45:00,W/P 2,Block 30
233,07:46:00,Block 10,W/P 6
1673,07:47:00,Block 4,W/P 2
953,07:47:00,Block 27,W/P 5
2393,07:47:00,Block 16,W/P 6
3113,07:47:00,Block 8,W/P 4
234,07:48:00,Block 30,W/P 6
1674,07:49:00,Block 27,W/P 5
954,07:49:00,W/P 1,Block 32
2394,07:49:00,Block 12,W/P 2
3114,07:49:00,Block 31,W/P 6
235,07:50:00,Block 19,W/P 2
1675,07:51:00,W/P 3,Block 18
2395,07:51:00,Block 31,W/P 1
3115,07:51:00,Block 24,W/P 5
955,07:51:00,Block 22,W/P 6
236,07:52:00,Block 3,W/P 5
1676,07:53:00,Block 17,W/P 2
3116,07:53:00,Block 26,W/P 5
2396,07:53:00,Block 25,W/P 4
956,07:53:00,W/P 5,Block 32
237,07:54:00,Block 12,W/P 2
957,07:55:00,Block 7,W/P 6
2397,07:55:00,Block 2,W/P 5
3117,07:55:00,Block 6,W/P 3
1677,07:55:00,Block 21,W/P 7
238,07:56:00,Block 3,W/P 7
3118,07:57:00,Block 29,W/P 1
2398,07:57:00,Block 24,W/P 7
958,07:57:00,Block 3,W/P 7
1678,07:57:00,Block 31,W/P 3
239,07:58:00,Block 31,W/P 4
959,07:59:00,Block 10,W/P 3
1679,07:59:00,W/P 2,Block 1
3119,07:59:00,Block 24,W/P 5
2399,07:59:00,Block 25,W/P 1
240,08:00:00,Block 2,W/P 4
960,08:01:00,Block 15,W/P 2
2400,08:01:00,Block 20,W/P 5
1680,08:01:00,Block 10,W/P 3
3120,08:01:00,Block 20,W/P 7
241,08:02:00,Block 29,W/P 4
1681,08:03:00,W/P 4,Block 24
961,08:03:00,Block 32,W/P 1
3121,08:03:00,Block 29,W/P 4
2401,08:03:00,Block 14,W/P 5
242,08:04:00,Block 27,W/P 1
1682,08:05:00,Block 23,W/P 4
3122,08:05:00,Block 27,W/P 7
2402,08:05:00,Block 20,W/P 7
962,08:05:00,Block 25,W/P 2
243,08:06:00,W/P 3,Block 25
3123,08:07:00,Block 4,W/P 4
1683,08:07:00,Block 10,W/P 7
963,08:07:00,Block 12,W/P 1
2403,08:07:00,W/P 7,Block 25
244,08:08:00,Block 31,W/P 2
2404,08:09:00,Block 29,W/P 6
3124,08:09:00,Block 12,W/P 1
1684,08:09:00,Block 6,W/P 5
964,08:09:00,Block 15,W/P 1
245,08:10:00,Block 15,W/P 7
1685,08:11:00,Block 13,W/P 2
3125,08:11:00,Block 7,W/P 1
965,08:11:00,Block 30,W/P 5
2405,08:11:00,Block 2,W/P 7
246,08:12:00,Block 13,W/P 1
2406,08:13:00,Block 2,W/P 1
966,08:13:00,W/P 2,Block 30
3126,08:13:00,Block 8,W/P 6
1686,08:13:00,Block 15,W/P 5
247,08:14:00,Block 32,W/P 6
2407,08:15:00,Block 24,W/P 5
967,08:15:00,Block 10,W/P 1
1687,08:15:00,Block 3,W/P 1
3127,08:15:00,Block 14,W/P 4
248,08:16:00,Block 14,W/P 4
1688,08:17:00,Block 3,W/P 7
3128,08:17:00,W/P 3,Block 4
968,08:17:00,Block 21,W/P 6
2408,08:17:00,Block 1,W/P 4
249,08:18:00,Block 25,W/P 7
3129,08:19:00,Block 7,W/P 4
969,08:19:00,W/P 2,Block 24
1689,08:19:00,Block 10,W/P 7
2409,08:19:00,Block 32,W/P 2
250,08:20:00,Block 28,W/P 3
3130,08:21:00,Block 14,W/P 2
2410,08:21:00,Block 12,W/P 7
1690,08:21:00,W/P 5,Block 18
970,08:21:00,Block 20,W/P 7
251,08:22:00,Block 17,W/P 3
3131,08:23:00,Block 12,W/P 2
2411,08:23:00,Block 15,W/P 6
971,08:23:00,W/P 1,Block 21
1691,08:23:00,Block 29,W/P 4
252,08:24:00,Block 20,W/P 6
3132,08:25:00,Block 31,W/P 4
2412,08:25:00,Block 16,W/P 1
1692,08:25:00,Block 4,W/P 5
972,08:25:00,Block 24,W/P 7
253,08:26:00,Block 27,W/P 7
2413,08:27:00,W/P 5,Block 23
1693,08:27:00,Block 15,W/P 6
3133,08:27:00,Block 2,W/P 1
973,08:27:00,Block 30,W/P 6
254,08:28:00,Block 30,W/P 4
3134,08:29:00,Block 22,W/P 1
974,08:29:00,Block 13,W/P 5
1694,08:29:00,Block 29,W/P 6
2414,08:29:00,Block 1,W/P 7
255,08:30:00,Block 32,W/P 4
2415,08:31:00,Block 1,W/P 5
975,08:31:00,Block 29,W/P 5
3135,08:31:00,Block 10,W/P 3
1695,08:31:00,Block 29,W/P 7
256,08:32:00,Block 17,W/P 5
1696,08:33:00,W/P 5,Block 6
2416,08:33:00,Block 10,W/P 4
3136,08:33:00,Block 28,W/P 5
976,08:33:00,Block 7,W/P 4
257,08:34:00,Block 13,W/P 1
977,08:35:00,Block 22,W/P 3
3137,08:35:00,Block 6,W/P 2
2417,08:35:00,Block 11,W/P 6
1697,08:35:00,Block 9,W/P 5
258,08:36:00,Block 23,W/P 5
3138,08:37:00,Block 3,W/P 1
1698,08:37:00,Block 14,W/P 1
2418,08:37:00,W/P 3,Block 16
978,08:37:00,Block 28,W/P 3
259,08:38:00,W/P 3,Block 18
1699,08:39:00,W/P 6,Block 30
3139,08:39:00,Block 3,W/P 7
2419,08:39:00,Block 28,W/P 6
979,08:39:00,W/P 6,Block 13
260,08:40:00,Block 14,W/P 1
980,08:41:00,Block 30,W/P 6
1700,08:41:00,Block 14,W/P 1
3140,08:41:00,Block 5,W/P 6
2420,08:41:00,Block 22,W/P 1
261,08:42:00,Block 28,W/P 5
3141,08:43:00,Block 17,W/P 2
981,08:43:00,Block 14,W/P 4
1701,08:43:00,Block 21,W/P 7
2421,08:43:00,Block 23,W/P 6
262,08:44:00,Block 2,W/P 2
1702,08:45:00,Block 5,W/P 2
3142,08:45:00,Block 19,W/P 4
2422,08:45:00,Block 9,W/P 3
982,08:45:00,Block 9,W/P 6
263,08:46:00,W/P 7,Block 19
1703,08:47:00,W/P 5,Block 12
2423,08:47:00,W/P 2,Block 9
983,08:47:00,Block 4,W/P 1
3143,08:47:00,Block 28,W/P 1
264,08:48:00,Block 18,W/P 4
1704,08:49:00,Block 2,W/P 7
2424,08:49:00,Block 31,W/P 3
984,08:49:00,Block 27,W/P 3
3144,08:49:00,Block 14,W/P 1
265,08:50:00,Block 4,W/P 5
985,08:51:00,Block 28,W/P 5
1705,08:51:00,Block 14,W/P 2
3145,08:51:00,Block 1,W/P 4
2425,08:51:00,Block 21,W/P 1
266,08:52:00,Block 32,W/P 3
2426,08:53:00,Block 31,W/P 5
3146,08:53:00,Block 17,W/P 3
1706,08:53:00,W/P 7,Block 7
986,08:53:00,Block 11,W/P 7
267,08:54:00,Block 1,W/P 6
3147,08:55:00,W/P 5,Block 32
2427,08:55:00,Block 30,W/P 6
1707,08:55:00,Block 32,W/P 6
987,08:55:00,Block 4,W/P 7
268,08:56:00,Block 12,W/P 1
1708,08:57:00,Block 6,W/P 2
2428,08:57:00,Block 29,W/P 3
3148,08:57:00,Block 32,W/P 3
988,08:57:00,W/P 4,Block 27
269,08:58:00,Block 24,W/P 6
989,08:59:00,Block 14,W/P 2
2429,08:59:00,Block 23,W/P 2
3149,08:59:00,W/P 7,Block 22
1709,08:59:00,Block 15,W/P 1
270,09:00:00,Block 13,W/P 3
3150,09:01:00,Block 32,W/P 7
990,09:01:00,Block 31,W/P 4
2430,09:01:00,Block 23,W/P 5
1710,09:01:00,Block 13,W/P 7
271,09:02:00,Block 13,W/P 1
3151,09:03:00,Block 23,W/P 3
991,09:03:00,W/P 3,Block 12
2431,09:03:00,W/P 6,Block 15
1711,09:03:00,W/P 7,Block 14
272,09:04:00,Block 20,W/P 3
3152,09:05:00,Block 26,W/P 7
2432,09:05:00,Block 6,W/P 6
1712,09:05:00,W/P 4,Block 9
992,09:05:00,Block 22,W/P 7
273,09:06:00,Block 21,W/P 6
3153,09:07:00,Block 1,W/P 2
1713,09:07:00,Block 11,W/P 2
993,09:07:00,Block 1,W/P 1
2433,09:07:00,Block 12,W/P 4
274,09:08:00,Block 3,W/P 6
2434,09:09:00,Block 5,W/P 6
1714,09:09:00,W/P 3,Block 23
3154,09:09:00,Block 7,W/P 5
994,09:09:00,W/P 1,Block 14
275,09:10:00,Block 20,W/P 1
1715,09:11:00,Block 25,W/P 5
995,09:11:00,Block 26,W/P 4
2435,09:11:00,Block 6,W/P 6
3155,09:11:00,Block 18,W/P 6
276,09:12:00,Block 31,W/P 4
996,09:13:00,W/P 6,Block 11
3156,09:13:00,Block 31,W/P 2
1716,09:13:00,Block 4,W/P 6
2436,09:13:00,Block 3,W/P 3
277,09:14:00,Block 14,W/P 6
1717,09:15:00,Block 15,W/P 1
997,09:15:00,W/P 6,Block 7
3157,09:15:00,Block 8,W/P 4
2437,09:15:00,Block 26,W/P 5
278,09:16:00,Block 23,W/P 5
2438,09:17:00,Block 15,W/P 7
1718,09:17:00,Block 4,W/P 7
3158,09:17:00,Block 4,W/P 6
998,09:17:00,Block 32,W/P 1
279,09:18:00,Block 15,W/P 1
999,09:19:00,Block 4,W/P 6
3159,09:19:00,Block 11,W/P 6
1719,09:19:00,Block 32,W/P 3
2439,09:19:00,Block 24,W/P 3
280,09:20:00,Block 30,W/P 7
3160,09:21:00,Block 22,W/P 7
1720,09:21:00,W/P 4,Block 20
1000,09:21:00,Block 9,W/P 1
2440,09:21:00,Block 25,W/P 5
281,09:22:00,Block 22,W/P 5
1721,09:23:00,Block 7,W/P 5
2441,09:23:00,Block 13,W/P 1
1001,09:23:00,Block 27,W/P 1
3161,09:23:00,Block 26,W/P 7
282,09:24:00,Block 10,W/P 3
1002,09:25:00,Block 12,W/P 6
2442,09:25:00,Block 14,W/P 5
3162,09:25:00,W/P 2,Block 6
1722,09:25:00,Block 21,W/P 3
283,09:26:00,Block 18,W/P 1
3163,09:27:00,Block 5,W/P 7
1003,09:27:00,W/P 4,Block 8
2443,09:27:00,Block 3,W/P 7
1723,09:27:00,Block 1,W/P 4
284,09:28:00,W/P 4,Block 5
2444,09:29:00,W/P 7,Block 18
3164,09:29:00,Block 21,W/P 1
1004,09:29:00,Block 17,W/P 4
1724,09:29:00,Block 22,W/P 4
285,09:30:00,Block 13,W/P 4
